
label, x1, y1, x2, y2, score 
1, 241.903076172, 1759.9296875, 439.938415527, 1932.15795898, 0.696434259415 
1, 1010.82470703, 918.135925293, 1258.54370117, 1117.15429688, 0.295998603106 
110, 772.962036133, 1498.87231445, 1053.03955078, 1683.58911133, 0.748466670513 
110, 447.183013916, 1153.01574707, 766.540527344, 1337.9317627, 0.727090954781 
110, 2343.51049805, 434.890228271, 2675.24438477, 616.061889648, 0.528753936291 
110, 2208.92285156, 889.596557617, 2484.31152344, 1069.828125, 0.347097873688 
110, 953.11138916, 767.934509277, 1320.36169434, 933.456237793, 0.308669537306 
110, 515.375305176, 1336.29309082, 805.284362793, 1522.12756348, 0.164969816804 
110, 2287.96972656, 394.213989258, 2636.57568359, 571.420776367, 0.139578640461 
110, 450.511962891, 1092.84912109, 729.970336914, 1269.73388672, 0.120601959527 
110, 3478.01489258, 178.815292358, 3781.60766602, 334.316345215, 0.103744022548 
110, 1539.59155273, 437.356170654, 1749.67871094, 598.231018066, 0.101309418678 
141, 1900.70166016, 1588.23522949, 2195.97167969, 1787.2532959, 0.132120743394 
111, 2597.62036133, 849.122009277, 2929.50708008, 1047.77050781, 0.971399307251 
869, 1568.11132812, 1964.59521484, 1828.12670898, 2176.09179688, 0.11650300771 
839, 392.244750977, 2088.91552734, 582.344909668, 2286.23681641, 0.986363828182 
839, 1412.3704834, 1271.61938477, 1644.01843262, 1469.26367188, 0.589346826077 
839, 2501.50537109, 1208.46496582, 2791.15283203, 1407.8885498, 0.538456380367 
839, 2991.84765625, 1030.23522949, 3143.79541016, 1219.12609863, 0.527421414852 
839, 2194.63085938, 267.287841797, 2440.68652344, 458.362915039, 0.404159575701 
839, 1152.83459473, 601.921691895, 1386.6463623, 780.876403809, 0.327360898256 
839, 314.700836182, 2076.12988281, 554.769165039, 2244.03710938, 0.177820011973 
839, 1222.59411621, 1979.0291748, 1458.96252441, 2197.95629883, 0.137531206012 
839, 2597.99145508, 292.900268555, 2889.56030273, 474.051696777, 0.112958863378 
839, 1662.2701416, 1074.3170166, 1938.81091309, 1276.1114502, 0.110675178468 
552, 643.464416504, 1671.5456543, 936.95501709, 1873.8347168, 0.99190056324 
552, 1011.67736816, 1475.34814453, 1328.34802246, 1664.94433594, 0.982497036457 
552, 2404.92114258, 273.036224365, 2662.39331055, 455.721160889, 0.971462190151 
552, 1202.15100098, 1092.72558594, 1491.6072998, 1277.57495117, 0.947715699673 
552, 2963.1184082, 329.042755127, 3287.7043457, 489.138458252, 0.356243699789 
552, 2081.14697266, 569.699829102, 2373.91992188, 768.00769043, 0.220463648438 
552, 1105.70605469, 1441.07836914, 1456.74267578, 1634.85058594, 0.205656141043 
552, 1898.45678711, 1766.33093262, 2159.29541016, 1959.80944824, 0.162913635373 
661, 1351.81787109, 724.674682617, 1631.00439453, 924.508911133, 0.478338003159 
661, 2884.17236328, 328.839263916, 3043.48144531, 487.291656494, 0.302595287561 
661, 2999.71728516, 318.482299805, 3313.25439453, 493.567565918, 0.199083939195 
661, 2283.45581055, 1769.73193359, 2422.11157227, 1930.78735352, 0.149445652962 
661, 3141.58227539, 320.56539917, 3338.59838867, 482.69833374, 0.144041910768 
